"YEAR","REGION","STATEFIP","STATECENSUS","METRO","METAREA","COUNTY","METFIPS","INDIVIDCC","FAMINC","AGE","SEX","RACE","MARST","HISPAN","VOTEREG","VOWHYNOT","VOYNOTREG","VOTEHOW","VOTEWHEN","VOREGHOW","VOTERES","VOTERESP"
2012,31,37,56,2,3121,37067,49180,0,830,45,2,100,1,0,2,99,99,1,2,97,5,2
2012,31,37,56,2,3121,37067,49180,0,830,45,1,100,1,0,2,99,99,1,2,97,5,2
2012,31,37,56,2,3122,0,24660,0,830,43,1,100,1,0,2,99,99,1,1,1,7,1
2012,31,37,56,2,3122,0,24660,0,830,35,2,100,1,0,2,99,99,1,1,1,7,2
2012,31,37,56,2,3122,0,24660,0,710,32,1,100,6,0,2,99,99,2,2,3,3,1
2012,31,37,56,2,6641,0,20500,0,720,32,2,100,1,0,2,99,99,1,2,8,6,1
2012,31,37,56,2,6641,0,20500,0,720,32,1,100,1,0,2,99,99,1,2,8,6,2
2012,31,37,56,2,6641,0,20500,0,720,2,1,100,9,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,830,28,2,100,1,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,830,27,1,100,1,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,6642,37183,39580,0,843,67,1,200,1,0,2,99,99,1,1,1,6,2
2012,31,37,56,2,6642,37183,39580,0,843,64,2,200,1,0,2,99,99,1,1,1,7,1
2012,31,37,56,2,1521,37119,16740,1,830,35,2,100,1,0,2,99,99,1,1,1,6,1
2012,31,37,56,2,1521,37119,16740,1,830,46,1,100,1,0,2,99,99,1,1,1,6,2
2012,31,37,56,2,1521,37119,16740,1,830,10,2,100,9,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,830,71,1,100,1,0,2,99,99,1,2,5,7,2
2012,31,37,56,2,1521,37119,16740,1,830,67,2,100,1,0,2,99,99,1,2,5,7,1
2012,31,37,56,2,3121,37067,49180,0,820,28,2,651,6,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,6642,37183,39580,0,830,47,1,100,1,0,1,8,99,99,99,1,2,1
2012,31,37,56,2,6642,37183,39580,0,830,45,2,100,1,0,1,8,99,99,99,1,2,2
2012,31,37,56,2,6642,37183,39580,0,830,4,2,100,9,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,6642,37183,39580,0,830,6,1,100,9,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,6642,37183,39580,0,740,52,2,200,4,0,2,99,99,1,2,1,7,1
2012,31,37,56,2,6642,37183,39580,0,740,23,2,200,6,0,2,99,99,1,2,1,7,2
2012,31,37,56,2,1521,37119,16740,1,820,80,1,100,1,0,2,99,99,1,1,1,1,1
2012,31,37,56,2,1521,37119,16740,1,820,59,2,651,1,0,2,99,99,1,2,6,1,2
2012,31,37,56,2,2560,0,22180,0,710,22,1,100,1,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,2560,0,22180,0,710,21,2,100,1,100,0,99,6,99,99,99,2,1
2012,31,37,56,2,2560,0,22180,0,710,1,1,100,9,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,740,39,1,100,4,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,740,3,2,100,9,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,740,7,2,100,9,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,740,10,2,100,9,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,740,27,1,100,6,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,740,37,2,100,4,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,600,34,2,200,3,0,2,99,99,1,1,1,3,1
2012,31,37,56,2,1521,37119,16740,1,600,1,1,200,9,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,600,5,1,200,9,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,600,12,1,200,9,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,100,85,2,100,5,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,0,16740,0,830,38,2,100,1,410,98,99,99,99,99,99,7,2
2012,31,37,56,2,1521,0,16740,0,830,39,1,100,1,0,1,4,99,99,99,1,7,1
2012,31,37,56,2,1521,0,16740,0,830,5,2,100,9,410,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,0,16740,0,830,6,2,100,9,410,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,0,16740,0,830,11,2,100,9,410,99,99,99,99,99,99,99,9
