"YEAR","REGION","STATEFIP","STATECENSUS","METRO","METAREA","COUNTY","METFIPS","INDIVIDCC","FAMINC","PERNUM","WTFINL","AGE","SEX","RACE","MARST","CITIZEN","HISPAN","VOTEREG","VOWHYNOT","VOYNOTREG","VOTEHOW","VOTEWHEN","VOREGHOW","VOTERES","VOTERESP"
2012,31,37,56,2,1521,37119,16740,1,720,4,3035.3619,8,2,100,9,3,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,720,5,3519.212,23,1,100,6,3,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,740,1,3124.8255,79,2,100,5,0,0,2,99,99,1,1,9,6,1
2012,31,37,56,2,1521,37119,16740,1,740,2,3025.4264,46,1,100,6,0,0,2,99,99,1,2,9,6,2
2012,31,37,56,2,2560,0,22180,0,830,1,3995.9677,73,2,200,5,0,0,2,99,99,1,2,5,7,1
2012,31,37,56,2,2560,0,22180,0,830,2,4616.2707,45,2,200,6,0,0,2,99,99,1,2,5,7,2
2012,31,37,56,2,3121,37067,49180,0,830,1,3152.2271,43,1,100,3,0,0,2,99,99,1,2,97,6,1
2012,31,37,56,2,3121,37067,49180,0,830,2,1904.1365,6,1,100,9,0,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,3121,37067,49180,0,830,3,3360.212,73,1,100,1,0,0,2,99,99,1,2,97,7,2
2012,31,37,56,2,3121,37067,49180,0,830,4,3581.0443,77,2,100,1,0,0,2,99,99,1,2,97,7,2
2012,31,37,56,2,3121,37067,49180,0,830,5,3504.4491,45,2,100,1,0,0,2,99,99,1,2,97,5,2
2012,31,37,56,2,3121,37067,49180,0,830,6,3555.2513,45,1,100,1,0,0,2,99,99,1,2,97,5,2
2012,31,37,56,2,3122,0,24660,0,830,1,2688.1701,43,1,100,1,0,0,2,99,99,1,1,1,7,1
2012,31,37,56,2,3122,0,24660,0,830,2,3427.4492,35,2,100,1,0,0,2,99,99,1,1,1,7,2
2012,31,37,56,2,3122,0,24660,0,710,1,3206.2739,32,1,100,6,0,0,2,99,99,2,2,3,3,1
2012,31,37,56,2,6641,0,20500,0,720,1,2793.1716,32,2,100,1,0,0,2,99,99,1,2,8,6,1
2012,31,37,56,2,6641,0,20500,0,720,2,3103.2798,32,1,100,1,0,0,2,99,99,1,2,8,6,2
2012,31,37,56,2,6641,0,20500,0,720,3,2050.1736,2,1,100,9,0,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,830,1,2833.0329,28,2,100,1,3,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,830,2,3960.8434,27,1,100,1,3,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,6642,37183,39580,0,843,1,2480.5652,67,1,200,1,0,0,2,99,99,1,1,1,6,2
2012,31,37,56,2,6642,37183,39580,0,843,2,2746.9366,64,2,200,1,0,0,2,99,99,1,1,1,7,1
2012,31,37,56,2,1521,37119,16740,1,830,1,3662.0462,35,2,100,1,0,0,2,99,99,1,1,1,6,1
2012,31,37,56,2,1521,37119,16740,1,830,2,3850.4529,46,1,100,1,0,0,2,99,99,1,1,1,6,2
2012,31,37,56,2,1521,37119,16740,1,830,3,3957.0152,10,2,100,9,0,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,830,1,3360.212,71,1,100,1,0,0,2,99,99,1,2,5,7,2
2012,31,37,56,2,1521,37119,16740,1,830,2,3478.8,67,2,100,1,0,0,2,99,99,1,2,5,7,1
2012,31,37,56,2,3121,37067,49180,0,820,1,4147.9987,28,2,651,6,3,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,6642,37183,39580,0,830,1,3781.653,47,1,100,1,2,0,1,8,99,99,99,1,2,1
2012,31,37,56,2,6642,37183,39580,0,830,2,3475.8104,45,2,100,1,2,0,1,8,99,99,99,1,2,2
2012,31,37,56,2,6642,37183,39580,0,830,3,2732.9938,4,2,100,9,0,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,6642,37183,39580,0,830,4,4473.959,6,1,100,9,0,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,6642,37183,39580,0,740,1,3540.4696,52,2,200,4,0,0,2,99,99,1,2,1,7,1
2012,31,37,56,2,6642,37183,39580,0,740,2,4622.3785,23,2,200,6,0,0,2,99,99,1,2,1,7,2
2012,31,37,56,2,1521,37119,16740,1,820,1,3363.6124,80,1,100,1,0,0,2,99,99,1,1,1,1,1
2012,31,37,56,2,1521,37119,16740,1,820,2,3463.4545,59,2,651,1,2,0,2,99,99,1,2,6,1,2
2012,31,37,56,2,2560,0,22180,0,710,1,0,22,1,100,1,0,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,2560,0,22180,0,710,2,2772.4921,21,2,100,1,0,100,0,99,6,99,99,99,2,1
2012,31,37,56,2,2560,0,22180,0,710,3,2932.3034,1,1,100,9,0,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,740,1,3086.6243,39,1,100,4,3,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,740,2,3286.312,3,2,100,9,0,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,740,3,3278.1767,7,2,100,9,0,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,740,4,2857.6222,10,2,100,9,0,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,740,5,3500.7876,27,1,100,6,3,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,740,6,3288.5171,37,2,100,4,3,100,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,600,1,3185.323,34,2,200,3,0,0,2,99,99,1,1,1,3,1
2012,31,37,56,2,1521,37119,16740,1,600,2,4128.1207,1,1,200,9,0,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,600,3,3688.1429,5,1,200,9,0,0,99,99,99,99,99,99,99,9
